time,city,message
2025-06-24 09:04:59,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:05:04,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:05:09,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:05:15,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:05:20,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:05:25,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:05:30,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:05:35,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:05:40,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:05:45,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:05:50,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:05:55,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:06:01,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:06:06,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:06:11,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:06:16,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:06:21,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:06:26,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:06:31,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:06:36,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:06:41,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:06:47,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:06:52,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:06:57,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:07:02,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:07:07,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:07:12,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:07:17,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:07:22,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:07:27,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:07:33,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:07:38,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:07:43,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:07:48,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:07:53,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:07:58,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:08:03,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:08:08,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:08:14,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:08:19,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:08:24,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:08:29,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:08:34,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:08:39,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:08:44,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
2025-06-24 09:08:49,Ho Chi Minh,Gui nhiet do thuc te: 29.38°C
